,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,brand,model,KM,year,price,sd,deiscription
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bajaj,Others,"2,500 km",2019,"₹ 1,90,000",Dominar 400 ABS 2019,
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Hero Honda,Hunk,"35,000 km",2008,"₹ 5,000",A bike good condition,
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Yamaha,Others,"15,000 km",1988,"₹ 35,000",Yamaha rx100,
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Yamaha,Others,"23,500 km",2019,"₹ 45,500",Wheel alignment wheel alignment,
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Bajaj,Pulsar,"18,000 km",2017,"₹ 35,000",Nike bike new Surendra good condition,
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Hero,Splendor,0 km,2012,"₹ 11,500",We will maintain,
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,Bajaj,Pulsar,"2,300 km",2018,"₹ 75,000",Ns Pulsar 160,
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,Hero Honda,Passion,"70,000 km",2015,"₹ 30,000",Hero XPro well maintained bike,
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,Royal Enfield,Classic,"2,700 km",2019,"₹ 85,000",New condition bike,
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,Hero,Splendor,"14,000 km",2019,"₹ 65,000",Good candishan koyi Kami Nahi hai,
10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,Honda,CB,"52,000 km",2011,"₹ 35,000",CB Unicorn,
11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,Hero,Glamour,"9,120 km",2019,"₹ 32,500",Sugar padda,
12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,Hero,Splendor,"9,000 km",2019,"₹ 28,500",Single hand using,
13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,KTM,Duke 200,"11,000 km",2018,"₹ 35,000",Jk.    Jk.     Ko.,
14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,Bajaj,Others,"40,000 km",2009,"₹ 20,000",condition bike,
15,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,Royal Enfield,Bullet,"10,500 km",2017,"₹ 60,000",bike red colour,
16,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,TVS,Apache RTR,"1,925 km",2020,"₹ 1,03,000","TVS Apache RTR 160 4V, उपलब्ध है BIKES24 मुजफ्फरपुर ब्रांच में",
17,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,Other Brands,Others,"9,400 km",2015,"₹ 3,30,000",Harley Davidson at very good condition,
18,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,Hero Honda,Karizma,"60,130 km",2011,"₹ 36,000",Condition jst some noice only,
19,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,Hero Honda,Splendor,"100,000 km",1998,"₹ 24,000",Pepar all cliear,
20,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,Hero Honda,CBZ,"43,560 km",2010,"₹ 85,000",CBZ EXTREM 2010,
21,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,TVS,Apache RTR,"11,500 km",2018,"₹ 27,500",Bik                    e in                 sell,
22,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,Suzuki,Others,"214,555 km",1998,"₹ 80,000",Sukhi saugandh,
23,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,Royal Enfield,Classic,"3,520 km",2018,"₹ 70,000",Onwer Fast,
24,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,Hero,Super Splendor,"2,300 km",2020,"₹ 83,000",Good condition my new bike,
25,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,Bajaj,Avenger,"20,000 km",2011,"₹ 35,000",Avenger 220 CC,
26,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,Yamaha,Others,"22,012 km",2016,"₹ 55,500",Good condition Yamaha R15 V2,
